,quadrant,geometry
0,SW,POINT (-114.0716774 51.0296112)
1,SE,POINT (-113.958331 50.9504395)
2,SW,POINT (-114.1177502 50.9724213)
3,NW/NE,POINT (-114.0624739 51.0549834)
4,NW,POINT (-114.149379 51.0988494)
5,SW,POINT (-114.1639913 51.0527426)
6,NE,POINT (-113.919492 51.1541373)
7,SW/SE,POINT (-114.071734 51.0014567)
8,NW,POINT (-114.1182195 51.0741894)
9,SW,POINT (-114.0811841 51.0470302)
10,SE,POINT (-114.0583524 51.042248)
11,NW,POINT (-114.0811808 51.0536259)
12,SE,POINT (-114.0587094 51.0378583)
13,NW,POINT (-114.1645796 51.1374967)
14,SE,POINT (-113.9418025 50.8849674)
15,NW,POINT (-114.2130566 51.1498531)
16,SE,POINT (-114.0181691 51.0478522)
17,NE,POINT (-114.0281359 51.067286)
18,SE,POINT (-114.0603862 51.0483314)
19,NE,POINT (-114.0013849 51.1752086)
20,SW/SE,POINT (-114.071551 50.9939175)
21,SE,POINT (-114.0335844 51.042036)
22,SE,POINT (-113.9292632 50.9796349)
23,SW,POINT (-114.1180484 51.0000379)
24,NE,POINT (-113.9817289 51.1543016)
25,NE,POINT (-113.915867 51.0967588)
26,NW,POINT (-114.0945466 51.0524335)
27,SE,POINT (-113.9947155 51.0337749)
28,SW,POINT (-114.0944192 50.950741)
29,SE,POINT (-114.0026887 51.0149725)
30,SW,POINT (-114.1413625 51.0225389)
31,NW,POINT (-114.1643274 51.0726124)
32,NE,POINT (-113.9816889 51.1397793)
33,NE,POINT (-113.9807844 51.0957002)
34,NE,POINT (-113.9696467 51.1543276)
35,SW,POINT (-114.0868196 51.0491768)
36,NW,POINT (-114.2239989 51.1067302)
37,NW/NE,POINT (-114.0626323 51.0667995)
38,NW,POINT (-114.2310015 51.1328769)
39,SW,POINT (-114.1175273 50.9507798)
40,NW,POINT (-114.0922392 51.1438922)
41,SE,POINT (-113.9582468 51.0378098)
42,NW,POINT (-114.1180882 51.0524874)
43,SE,POINT (-114.0490102 51.001302)
44,NE,POINT (-114.0140245 51.0670373)
45,SW,POINT (-114.0736443 51.0486767)
46,SE,POINT (-114.0556637 51.0443901)
