,sign,count,geometry
0,Yield,0.0,POINT (-113.90912231652905 50.95285265999816)
8,Yield,1.0,POINT (-114.16452521100709 51.0394853655438)
11,Yield,1.0,POINT (-114.06515007469494 50.914291613495664)
12,Stop,2.0,POINT (-114.14138261644307 50.9503904907611)
17,Stop,4.0,POINT (-114.05770696355378 51.050554840686836)
18,Stop,3.0,POINT (-113.91175676882722 50.92884094814872)
21,Yield,1.0,POINT (-114.04310221676731 51.08744321592933)
29,Stop,3.0,POINT (-114.23880622207308 51.1256569348032)
39,Yield,1.0,POINT (-114.10037062394599 50.91419300166168)
42,Yield,0.0,POINT (-114.2578099920316 51.144418462808105)
44,Yield,1.0,POINT (-114.01746576104397 50.93232795869268)
56,Stop,0.0,POINT (-113.90220823996019 50.96603991151625)
80,Yield,0.0,POINT (-113.91069803622558 50.950599137278)
87,Stop,0.0,POINT (-114.11780566636966 51.2122984626338)
89,Yield,1.0,POINT (-114.19532425790972 51.09083731871846)
91,Stop,2.0,POINT (-114.28079398815996 51.1251890191401)
93,Stop,0.0,POINT (-113.88877793698386 51.05970745782887)
138,Stop,4.0,POINT (-114.08361871907864 51.02702379547069)
140,Stop,2.0,POINT (-114.06131416726735 51.01832168471879)
142,Yield,2.0,POINT (-114.24603794395556 51.124244840575436)
143,Stop,0.0,POINT (-114.06733767697084 51.0667920316075)
157,Yield,1.0,POINT (-113.97186660447294 50.90081476059791)
159,Stop,3.0,POINT (-114.12676470508134 51.036380133889885)
173,Stop,2.0,POINT (-114.12957778558336 51.0088345295464)
176,Yield,3.0,POINT (-113.96608707332749 51.112266268110574)
186,Stop,4.0,POINT (-114.1102481443689 50.90656471887077)
189,Stop,2.0,POINT (-114.15700572752104 51.13552835323497)
194,Stop,1.0,POINT (-114.00632821536367 51.150634263611416)
198,Yield,1.0,POINT (-114.05370158614764 51.10231809267363)
210,Stop,4.0,POINT (-114.0886989332983 50.9904525668034)
213,Stop,3.0,POINT (-114.21014219788053 51.10201625562607)
252,Stop,1.0,POINT (-114.03658906249319 51.041138483015835)
256,Yield,1.0,POINT (-114.13145564411921 51.057358699605594)
266,Stop,0.0,POINT (-113.96123905018376 51.03927481291961)
270,Stop,1.0,POINT (-114.00670777748233 51.15100464506769)
281,Stop,2.0,POINT (-114.12688158142646 51.005645821481394)
286,Stop,6.0,POINT (-114.04229803302249 51.03791274959887)
290,Stop,0.0,POINT (-113.8975642811872 50.96589369110806)
295,Yield,3.0,POINT (-114.1875760406433 51.11036299543635)
297,Stop,2.0,POINT (-114.08320696358857 51.00971631046594)
311,Yield,3.0,POINT (-113.96101210135978 51.01998725189787)
315,Stop,1.0,POINT (-114.09952620697861 51.06864773756642)
325,Stop,3.0,POINT (-114.04052992660249 51.06058512391383)
329,Yield,1.0,POINT (-114.13627392018094 50.99688357113474)
338,Stop,1.0,POINT (-114.0764938335414 51.020211982034226)
341,Stop,2.0,POINT (-114.15269931330445 51.01233716970748)
350,Stop,3.0,POINT (-113.9471557195919 50.89405007119673)
354,Stop,3.0,POINT (-114.17571131646642 51.13499384916607)
357,Yield,3.0,POINT (-114.12431009641105 50.937427942403055)
365,Stop,1.0,POINT (-114.11548322873124 51.071601485483896)
386,Yield,4.0,POINT (-114.09064305318172 50.920110264920865)
391,Yield,0.0,POINT (-114.07014746565766 51.117989477366436)
404,Stop,2.0,POINT (-113.96231963539215 51.09148403908841)
411,Stop,0.0,POINT (-114.05540298934069 51.0770244114885)
415,Stop,3.0,POINT (-114.10195954523121 51.02388679958261)
437,Stop,3.0,POINT (-114.15714760364502 51.12263807454463)
446,Stop,3.0,POINT (-114.05519561535226 51.04997962430448)
459,Stop,3.0,POINT (-114.03804696045991 50.87317719940979)
471,Stop,0.0,POINT (-113.99641821244231 50.97968408004195)
473,Yield,1.0,POINT (-113.95186232354848 50.91308076088384)
502,Stop,2.0,POINT (-113.98682137104846 51.03953023418727)
514,Yield,1.0,POINT (-114.17880029011457 51.12021951038293)
525,Yield,3.0,POINT (-114.11284426160998 50.918865200219734)
527,Stop,2.0,POINT (-114.16458888324233 51.096618342880916)
528,Stop,2.0,POINT (-114.08453260326692 51.126587688556775)
540,Stop,3.0,POINT (-114.05317955786087 51.06671721966647)
541,Stop,3.0,POINT (-114.09016743273257 51.05495751346491)
552,Yield,3.0,POINT (-114.15682104607697 51.14016186764393)
556,Yield,3.0,POINT (-114.07196994027537 50.88489393629992)
564,Stop,1.0,POINT (-114.092134588625 51.0686488948432)
565,Stop,0.0,POINT (-114.2107906817408 51.11933368587593)
579,Stop,1.0,POINT (-114.04104797215382 50.95591615963445)
584,Yield,1.0,POINT (-114.08960956847064 50.9137947653105)
605,Stop,2.0,POINT (-114.05265402046027 51.07055533355383)
607,Yield,1.0,POINT (-114.13756187796723 50.95651847742962)
647,Stop,2.0,POINT (-114.07585266915339 51.0595173913322)
655,Stop,4.0,POINT (-114.0917538912722 51.05436449192617)
670,Stop,4.0,POINT (-113.95261294890274 51.073662102493884)
671,Stop,1.0,POINT (-114.04241430306442 51.06422734862156)
699,Stop,1.0,POINT (-114.09946064233375 51.054607395004666)
711,Yield,3.0,POINT (-113.94018002874638 50.88926785343082)
740,Yield,4.0,POINT (-114.00844503280369 50.95108936733452)
754,Stop,3.0,POINT (-113.88883071166909 50.92157467514369)
760,Yield,3.0,POINT (-114.11676067503652 51.092053951784926)
793,Yield,3.0,POINT (-114.06489633621653 51.0687046385236)
826,Stop,3.0,POINT (-114.17862768140546 51.12584730488479)
852,Stop,0.0,POINT (-114.20915242806379 51.12666588086903)
854,Yield,2.0,POINT (-113.96120253983182 51.14780940312997)
860,Stop,3.0,POINT (-114.25327307266978 51.13774798882143)
866,Stop,4.0,POINT (-114.11062923669644 50.90698464665624)
868,Yield,3.0,POINT (-114.13573776469032 50.99471105516242)
876,Stop,3.0,POINT (-114.09477984995053 51.139787166438694)
882,Yield,1.0,POINT (-113.93477021092987 51.06263615065902)
888,Stop,2.0,POINT (-114.07981038320031 51.07599113446905)
894,Stop,3.0,POINT (-114.04782979158061 50.90402172399302)
900,Yield,3.0,POINT (-114.17280039562854 51.17475090152311)
910,Stop,4.0,POINT (-114.04643770402896 50.909784268410256)
913,Stop,2.0,POINT (-114.18029995316019 51.111768001816245)
919,Stop,3.0,POINT (-114.12024310824445 51.1645762493559)
926,Stop,3.0,POINT (-114.02755986752132 50.92278522317723)
941,Stop,1.0,POINT (-113.9836317839581 50.931727542417235)
946,Yield,0.0,POINT (-114.14394658586544 51.15851333146144)
948,Yield,4.0,POINT (-114.23994889612992 51.094332834906446)
982,Stop,3.0,POINT (-113.98646352227892 50.940091835147086)
1014,Stop,3.0,POINT (-114.08506452244134 51.07136372249836)
1016,Stop,1.0,POINT (-114.15269024568329 51.026914333948184)
1019,Stop,3.0,POINT (-114.1098300607129 51.08443973922828)
1020,Stop,0.0,POINT (-114.06752452884605 51.05239346092837)
1028,Stop,2.0,POINT (-114.0481725621635 51.074331241751146)
1035,Yield,3.0,POINT (-114.10942467859971 50.898173231385115)
1036,Yield,1.0,POINT (-114.07862200824805 51.01933504834759)
1037,Yield,3.0,POINT (-114.1094146588205 50.91552550877969)
1045,Stop,1.0,POINT (-113.98301176348625 51.039225264486085)
1049,Stop,3.0,POINT (-114.07021007879165 51.05771355196625)
1054,Stop,1.0,POINT (-113.94643494830075 51.11415289018876)
1067,Stop,3.0,POINT (-113.93896769409082 51.08656013713729)
1089,Yield,1.0,POINT (-114.07220206744462 50.89794399020424)
1092,Yield,2.0,POINT (-114.15716000146857 51.08136394964774)
1095,Stop,2.0,POINT (-113.96519262963044 50.93471642527733)
1102,Stop,3.0,POINT (-114.07297917828825 51.05763149416008)
1112,Stop,2.0,POINT (-114.10619565977795 51.02005263445464)
1130,Stop,2.0,POINT (-114.00521982512606 51.08658822053883)
1141,Stop,3.0,POINT (-113.94079995662223 51.125036682862465)
1146,Stop,2.0,POINT (-114.09096994196202 50.98418690973393)
1155,Stop,0.0,POINT (-114.02585215638794 50.9875917556379)
1165,Yield,1.0,POINT (-114.18253537553103 51.12211758887035)
1170,Stop,0.0,POINT (-114.10888677575839 51.14164728797407)
1175,Stop,3.0,POINT (-114.07416092182343 51.030452606599894)
1190,Stop,3.0,POINT (-114.13526982503151 51.057343975583684)
1222,Stop,0.0,POINT (-114.14897080478197 51.04782376872957)
1226,Yield,1.0,POINT (-114.08978683010154 50.942623780027084)
1234,Stop,2.0,POINT (-114.09795303977839 51.05439969126573)
1237,Stop,0.0,POINT (-114.0688404352155 51.014841558823015)
1251,Yield,3.0,POINT (-113.95152648649865 51.049244215321615)
1255,Stop,3.0,POINT (-113.93362187558614 51.04551754218985)
1265,Stop,4.0,POINT (-114.09069997985394 50.97459346282713)
1278,Stop,5.0,POINT (-114.18337378976157 51.1305461472632)
1292,Stop,3.0,POINT (-114.14812427374504 51.03059937751583)
1294,Stop,0.0,POINT (-114.09456794436414 51.05061965096039)
1309,Stop,1.0,POINT (-114.0531330609377 51.04013093111015)
1311,Yield,1.0,POINT (-114.06488766552211 50.91376817132932)
1314,Stop,3.0,POINT (-114.12012763969608 51.056079016444095)
1317,Stop,3.0,POINT (-114.07961424562478 50.966181944662736)
